--- Algorithmic Trading Bot ---
Starting trading engine. Press Ctrl+C to stop.
Market is closed. Waiting for next open in 0d 0h 8m...
Market is closed. Waiting for next open in 0d 0h 7m...
Market is closed. Waiting for next open in 0d 0h 6m...
Market is closed. Waiting for next open in 0d 0h 5m...
Market is closed. Waiting for next open in 0d 0h 4m...
Market is closed. Waiting for next open in 0d 0h 3m...
Market is closed. Waiting for next open in 0d 0h 2m...
Market is closed. Waiting for next open in 0d 0h 1m...
Market is closed. Waiting for next open in 0d 0h 0m...
Market is open. Starting trading engine...
10:05:57 ET | HOLDING  | Side: Sell, Qty:  -427, P/L: ($218.91)
10:06:28 ET | HOLDING  | Side: Sell, Qty:  -427, P/L: ($304.31)
10:06:59 ET | HOLDING  | Side: Sell, Qty:  -427, P/L: ($278.69)
10:07:30 ET | HOLDING  | Side: Sell, Qty:  -427, P/L: ($265.88)
10:08:01 ET | HOLDING  | Side: Sell, Qty:  -427, P/L: ($282.96)
10:08:32 ET | HOLDING  | Side: Sell, Qty:  -427, P/L: ($329.93)
10:09:03 ET | HOLDING  | Side: Sell, Qty:  -427, P/L: ($295.77)
10:09:34 ET | HOLDING  | Side: Sell, Qty:  -427, P/L: ($278.69)
10:10:04 ET | HOLDING  | Side: Sell, Qty:  -427, P/L: ($229.59)
10:10:35 ET | HOLDING  | Side: Sell, Qty:  -427, P/L: ($244.53)
10:11:06 ET | EXIT: CONTRARY SIGNAL (BUY) | Submitting order to close -427 shares.
10:11:37 ET | Polling... | Prediction: Buy
10:11:37 ET | SIGNAL: BUY  | Submitting market order for 852 shares.
10:12:08 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($170.40)
10:12:39 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($332.28)
10:13:09 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($281.16)
10:13:40 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($289.68)
10:14:11 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($281.16)
10:14:42 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($289.68)
10:15:13 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($451.56)
10:15:43 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($374.88)
