Open,High,Low,Close,Volume,Timestamp,VolumeWeightedAveragePrice,NumberOfTransactions,Date
516.16,516.4,514.57,514.6365,823448,1735830900000,515.8196,5738,01/02/2025 15:15:00
514.67,514.85,512.17,512.54,659970,1735831200000,513.0819,9778,01/02/2025 15:20:00
512.524,513.657,512.36,513.05,542348,1735831500000,513.0159,7721,01/02/2025 15:25:00
512.93,513.205,511.4501,512.38,657370,1735831800000,512.2761,7896,01/02/2025 15:30:00
512.41,513.21,511.6,512.15,491419,1735832100000,512.3924,6016,01/02/2025 15:35:00
512.18,512.7,511.11,511.86,464749,1735832400000,511.6636,6788,01/02/2025 15:40:00
511.77,513.21,511.19,513.049868,374789,1735832700000,512.172,5240,01/02/2025 15:45:00
513.01,513.9603,512.18,513.5694,561846,1735833000000,513.1956,7748,01/02/2025 15:50:00
513.6,513.6999,512.3,512.7094,204761,1735833300000,512.9699,9895,01/02/2025 15:55:00
512.74,512.93,510.52,510.8557,505964,1735833600000,511.5694,7159,01/02/2025 16:00:00
510.925,511.689,510.79,511.5,375512,1735833900000,511.225,5089,01/02/2025 16:05:00
511.447,512.36,510.79,511.97,372579,1735834200000,511.4617,5313,01/02/2025 16:10:00
511.96,512.6,511.52,512.52,162939,1735834500000,512.0604,2959,01/02/2025 16:15:00
512.486,513.24,511.48,512.88,258504,1735834800000,512.3748,4226,01/02/2025 16:20:00
512.9,513.232,512.4769,513.0799,183067,1735835100000,512.92,3390,01/02/2025 16:25:00
513.0489,513.31,512.5,513.17,201717,1735835400000,512.922,3300,01/02/2025 16:30:00
513.08,513.73,512.92,513.3,274599,1735835700000,513.3337,3857,01/02/2025 16:35:00
513.29,513.83,513.06,513.17,183563,1735836000000,513.4289,3040,01/02/2025 16:40:00
513.17,514.41,513.07,514.3006,274260,1735836300000,513.8603,3819,01/02/2025 16:45:00
514.315,514.58,512.98,513.36,335623,1735836600000,513.9208,4690,01/02/2025 16:50:00
513.38,513.87,513.25,513.64,110333,1735836900000,513.5274,2164,01/02/2025 16:55:00
513.61,514.09,513.02,514.09,368464,1735837200000,513.5424,4097,01/02/2025 17:00:00
514.06,514.0861,512.78,513.0025,260322,1735837500000,513.427,3241,01/02/2025 17:05:00
513,514.24,513,513.87,183424,1735837800000,513.7343,2873,01/02/2025 17:10:00
513.786,513.91,512.92,513.197,158381,1735838100000,513.2752,2813,01/02/2025 17:15:00
513.225,513.225,511.84,511.96,365754,1735838400000,512.5666,4652,01/02/2025 17:20:00
